matrix_case	finding	lens	kind	lanes_rc_on_ord3x4l	intent	root_cause
ifc2r1_l06_shortcircuit_hof_callback_pc	L06-shortcircuit-hof-callback-pc	parity	leak	0	REJECT	builtins.rs applies each callback once through cb(it, f, elems, c.lab, p) (63-67, 436-455), so the program counter is only the collection's shape. The runtime's anubis_any, anubis_all, anubis_find, anubis_position, anubis_take_while and anubis_drop_while stop at the first decisive predicate result. Whether the callback runs on element i therefore depends on the predicate results for elements 0..i-1, which here are decided by the secret.
ifc2r1_l07_sort_by_comparator_count	L07-sort_by-comparator-count	parity	leak	0	REJECT	builtins.rs:456-460 runs the sort_by key callback once under pc c.lab. The runtime anubis_sort_by calls the key function twice per comparison inside Rust's sort_by, and the number of comparisons depends on the element order, which here depends on the secret.
ifc2r1_l08_map_klab_ignored_by_collection_builtins	L08-map-klab-ignored-by-collection-builtins	parity	leak	1	REJECT	A map's key set is labelled lab ⊔ klab (len_label, eval.rs:2077-2085), but nearly every collection builtin in builtins.rs uses only c.lab as both the iteration-count and the result-shape label. That covers map, filter, each, find, any, all, count, flat_map, take_while, drop_while, position, partition, reduce (cb shape and acc.raise), concat, flatten, zip, enumerate, take, drop, chunk and window. The runtime anubis_iter iterates a map's keys, so the number of iterations and the result length equal the number of distinct keys.
ifc2r1_l09_apply_spreads_only_6_args	L09-apply-spreads-only-6-args	parity	leak	1	REJECT	builtins.rs:490-494 spreads a list whose items are not individually known as vec![li.all; 6]. Parameters from the seventh on are then padded with PUB: analyze_lambda does args.get(i) or PUB, and a user fn value is resized to its arity with PUB. The runtime anubis_apply passes every element, so p7 = ys[6] = k.
ifc2r1_l10_reduce_fixpoint_silent_cap	L10-reduce-fixpoint-silent-cap	parity	leak	1	REJECT	reduce (builtins.rs:548-557) iterates the accumulator fixpoint with `for _ in 0..40` and stops silently when it runs out, joining whatever acc it has. It neither checks convergence nor sets `exhausted`. Every other fixpoint in eval.rs fails closed (LOOP_LIMIT leads to ANUBIS_IFC2_LIMIT).
ifc2r1_l11_keychain_se_last_bind_global_state	L11-keychain_se_last_bind-global-state	parity	leak	0	REJECT	builtins.rs:147-150 treats keychain_se_last_bind() as a constant PUB scalar. The runtime (keychain_se_runtime.inc.rs) returns a process-global mutex value that cap_acquire_nonexportable writes ("none" before any mint, "soft"/"kc"/"se" after). It is a hidden store written under whatever pc the mint runs at.
ifc2r1_l12_password_hash_phc_raw_missing_bottom	L12-password_hash_phc_raw-missing-bottom	parity	leak	0	REJECT	The runtime implements password_hash_phc_raw (run.rs emit_builtin_call: "password_hash_phc" | "password_hash_phc_raw"). builtins.rs:173-174 lists a nonexistent "password_hash_raw" and omits password_hash_phc_raw, so builtins::call returns None. eval_call (eval.rs:1644-1648) then looks for a local of that name, finds none, and returns V::bottom(), dropping every argument label.
ifc2r1_l13_reduce_fold_closure_choice_not_in_pc	L13-reduce-fold-closure-choice-not-in-pc	parity	leak	0	REJECT	The runtime anubis_reduce picks the fold function by is_closure() on the two non-list arguments. reduce() (builtins.rs:525-561) analyzes both orders, but runs each callback under pc c.lab only. The label deciding which argument is the closure (x.lab, here SEC) is joined only into the result (`decided`), not into the callbacks' pc.
ifc2r1_l14_method_args_evaluated_outside_type_arm	L14-method-args-evaluated-outside-type-arm	parity	leak	0	REJECT	run.rs:4953-5000 lowers recv.m(args) by pasting the argument expressions into each type arm of a match on the receiver's runtime type, truncated to that method's arity. An argument is therefore evaluated only in arms whose arity reaches it, under the condition 'receiver is of type T'. method_call (eval.rs:1664-1666) evaluates every argument once, before dispatch, under the outer pc.
ifc2r1_l15_map_field_read_ignores_klab	L15-map-field-read-ignores-klab	parity	leak	1	REJECT	field_read (eval.rs:2170-2192) reads known[f] (or other) and raises only by b.lab. Unlike index_read (eval.rs:2145, which uses raise(m.klab)), it does not join m.klab, the label deciding whether a computed key equals f. The runtime field_get on a Map looks the key up by name, and a computed key equal to "a" overwrites it in the literal.
ifc2r1_l16_computed_key_aliases_known_key	L16-computed-key-aliases-known-key	parity	leak	1	REJECT	MapV treats known[k] as the exact value at key k and `other` as values at keys that are not known. At runtime a computed key whose display string equals a literal key overwrites it: anubis_map_lit keeps the last value, anubis_merge lets the second map win, and after a branch join either side may be present. MapLiteral (eval.rs:1422-1443) never joins `other` into colliding known slots. index_read with a literal key (eval.rs:2136) returns known[k] without `other`. V::join for maps (value.rs:406-423) keeps known[k] from one side only, and merge (builtins.rs:375) is a join. set_path's non-literal-key arm (eval.rs:1120-1128) does join the value into every known slot, so it is the only consistent writer.
ifc2r1_l17_runtime_trap_message_discloses_operand	L17-runtime-trap-message-discloses-operand	parity	leak	0	ACCEPT	IFC v2 treats a panic message as egress only for the panic() builtin (builtins.rs:98-108). The runtime's fail-closed traps also embed operand values in their panic messages: index_get index/length (run.rs:1643-1655), a missing map key, chr code points, factorial n, and the count or width arguments of repeat, substr, pad, take, chunk and times. None of these is modeled.
ifc2r1_o01_method_extra_arg_never_evaluated	O01-method-extra-arg-never-evaluated	parity	overrefusal	0	ACCEPT	This is the dual of L14. method_call evaluates every argument before dispatch (eval.rs:1666), but the runtime drops arguments past the chosen arm's arity without evaluating them (run.rs:4966-4977, `want = arity - 1`). q is always a B, whose m takes no argument, so print("x") never runs.
ifc2r1_o02_raise_marks_same_type_dispatch_secret	O02-raise-marks-same-type-dispatch-secret	parity	overrefusal	0	ACCEPT	if_value does va.join(vb).raise(clab), and raise_in_place (value.rs:311-313) sets the struct node's lab, which means its type, to SEC even though both alternatives are Acct. method_call then dispatches under pc ⊔ recv.lab (eval.rs:1670). The runtime dispatch depends only on the type name, which is Acct in every case.
ifc2r1_o03_raise_marks_same_length_list_secret	O03-raise-marks-same-length-list-secret	parity	overrefusal	0	ACCEPT	Same raise() conflation as O02. The joined list has known items of equal length (2), yet raise(clab) sets the list's lab (its length label) to SEC. iter_count_label = len_label = lab puts the loop body under a secret pc. The runtime iterates exactly two times either way.
ifc2r1_o04_contains_on_map_reads_values	O04-contains-on-map-reads-values	parity	overrefusal	0	ACCEPT	builtins.rs:168 puts contains in the scalar(deep_all(args)) group, so the result carries the labels of the map's values. The runtime anubis_contains on a Map (run.rs, 'fn anubis_contains') tests key presence only: `m.iter().any(|(k, _)| k == &n)`.
ifc2r1_o05_truthiness_uses_deep	O05-truthiness-uses-deep	parity	overrefusal	0	ACCEPT	Stmt::If, While (eval.rs:896 and 1226-1227) and if_value take the condition label as c.deep().control(). The runtime as_bool (run.rs:1557-1569) depends only on a list's or map's length, and is constant true for a struct, enum or closure. The element labels are irrelevant.
ifc2r1_r01_compose_accumulation_limit	R01-compose-accumulation-limit	parity	robustness	0	ACCEPT	compose (builtins.rs:510-515) stores the whole argument values in FnSet.composed. An accumulator acc' = compose(f, acc) therefore nests itself, and each join adds a new pair containing the previous acc. value.rs widening summarizes only lambda capture environments past CLOSURE_DEPTH. Composed pairs are re-widened with depth reset to 0 (fns_widened, value.rs:705-715) and are never folded, so the value's size grows without bound and no fixpoint (the reduce loop, a solve_summary, a for loop) converges.
ifc2r1_l01_map_literal_computed_key_collision	L01-map-literal-computed-key-collision	values	leak	1	REJECT	eval.rs:1422-1443 (Expr::MapLiteral) puts a computed key's value only in MapV.other and leaves known["a"] as it is. index_read (eval.rs:2136) and field_read (eval.rs:2176) return known[k] without joining other. The runtime (run.rs:2885 anubis_map_lit) keys by display_string and keeps the last duplicate, so k=="a" overwrites the literal entry.
ifc2r1_l02_map_join_drops_other	L02-map-join-drops-other	values	leak	1	REJECT	value.rs:406-423 (V::join for maps). When a key is known on one side only, the joined known[k] is that side's value (line 413 `None => v.clone()`). It should also join the other side's `other`, because that side's value at key k is described by its `other`. value.rs:539-550 (leq) has the matching gap: it never checks self.other against keys known only in o.
ifc2r1_l03_merge_via_join	L03-merge-via-join	values	leak	1	REJECT	builtins.rs:375 models merge(a,b) as a.join(b). That inherits L02's join gap: m2's computed key overrides m1's known "a" (run.rs:3186 anubis_merge), but the join keeps known["a"]=1.
ifc2r1_l04_keyset_change_under_secret_pc	L04-keyset-change-under-secret-pc	values	leak	0	REJECT	eval.rs:999-1026 (assign) and set_path eval.rs:1048-1143. A place write raises only the stored value by pc (v.raise(pc), line 1020). Inserting a new map key (lines 1068-1074, 1116-1119) or a new struct field (lines 1056-1067) never raises the container's lab or klab, and V::join unions key and field sets without labelling them. len_label (eval.rs:2077), keys, has_key, for-in, first and the key order all read lab/klab only.
ifc2r1_l05_struct_field_add_under_secret_pc	L05-struct-field-add-under-secret-pc	values	leak	0	REJECT	eval.rs:1056-1067 (set_path Seg::Field on a struct) adds the field without raising the struct's lab. The merged value keeps lab=PUB, and len_label (eval.rs:2077) returns lab. At runtime, field_set pushes a new field (run.rs:1741-1744, set_at run.rs:1989-1994), so len(p) is the field count.
ifc2r1_l06_struct_index_bool_literal	L06-struct-index-bool-literal	values	leak	1	REJECT	eval.rs:2147-2159 (index_read on structs). Any literal key that does not parse as f64 is read as a field name, so `true` reads field "true", which is missing, giving public 0. The runtime index_get (run.rs:1684-1696) uses a name only for Str indexes. Bool(true).as_i64()==1 reads fields[1] by position.
ifc2r1_l07_literal_key_text_not_normalized	L07-literal-key-text-not-normalized	values	leak	0	REJECT	eval.rs:2110-2116 (literal_key) uses the literal's source text ("007", "1.50", "1e0"). The runtime keys maps by display_string of the value: Int(7) gives "7" and Float(1.5) gives "1.5" (run.rs:5580 literal_to_anubis_value, 1788 anubis_float_str). The lexer strips `_` but keeps leading zeros and float spellings (frontend/mod.rs:1428-1500). The read misses known["7"] and gets `other`, which is bottom.
ifc2r1_l08_enum_struct_variant_join_positional	L08-enum-struct-variant-join-positional	values	leak	0	REJECT	value.rs:758-775 (join_enum) joins payload fields by position and keeps one side's names (lines 769-773). Struct-variant payloads are stored in literal order with parallel field_names (eval.rs:1413-1418; runtime field_get by name, run.rs:1726-1736). Joining {a,b} with {b,a} pairs a with b. value.rs:560-567 (leq) also ignores names.
ifc2r1_l09_map_field_read_ignores_klab_method_fallback	L09-map-field-read-ignores-klab-method-fallback	values	leak	0	REJECT	eval.rs:2170-2192 (field_read). For maps it returns known.get(f) or other and never raises by m.klab. index_read does raise by klab (eval.rs:2145). method_call's fallback (eval.rs:1712-1724) calls the closure read this way under pc = recv.lab only.
ifc2r1_l10_repeat_modelled_as_scalar_drops_closures	L10-repeat-modelled-as-scalar-drops-closures	values	leak	0	REJECT	builtins.rs:164-176 lists repeat among the content-scalar builtins (scalar(a)). The runtime anubis_repeat (run.rs:2189) returns a list of the original elements when given a list. The scalar result has no fns, so apply (eval.rs:755-804) finds nothing to call.
ifc2r1_l11_password_hash_phc_raw_missing	L11-password_hash_phc_raw-missing	values	leak	1	REJECT	builtins.rs has no entry for password_hash_phc_raw. It lists "password_hash_raw" (line 174), a name the runtime does not have. The runtime maps "password_hash_phc" | "password_hash_phc_raw" (run.rs:4440). eval_call then falls through builtins::call → None → no local → V::bottom() (eval.rs:1641-1648).
ifc2r1_l12_hof_callbacks_short_circuit_count	L12-hof-callbacks-short-circuit-count	values	leak	0	REJECT	builtins.rs:64-67 (cb) applies every callback under p.pc ⊔ the collection's shape label. any/all/find/position/take_while/drop_while (run.rs:2846-2855, 3058-3094) stop early, and sort_by (run.rs:2859-2875) calls the key function a data-dependent number of times. So whether a later call runs is decided by earlier results (r.deep()), which the analysis never joins into the callback's pc.
ifc2r1_l13_folded_scalar_length_kind_lost	L13-folded-scalar-length-kind-lost	values	leak	1	REJECT	value.rs:200-201 (shape_all) gives PUB for a pure scalar, so the fold in widen_at_limit (value.rs:617-626) puts a secret string's content only in tlab. part_of_top (value.rs:179-186) keeps lab=shape, and len_label and type() (eval.rs:2077, builtins.rs:162) read lab. A string's length, and a scalar's kind (int vs string), depend on its content.
ifc2r1_l14_folded_value_parts_lose_functions	L14-folded-value-parts-lose-functions	values	leak	0	REJECT	value.rs:179-186 (part_of_top) builds a top with an empty FnSet. Widening keeps a folded value's functions in t.fns (value.rs:620-625), but every read of a part drops them: index_read (eval.rs:2163-2165), field_read, elems, bind_pattern and try_value. set_path on a top also never adds a stored closure's fns (eval.rs:1075-1077, 1136-1139). apply (eval.rs:755-804) then calls nothing.
ifc2r1_l15_plus_with_top_operand_length	L15-plus-with-top-operand-length	values	leak	1	REJECT	eval.rs:1786-1806 (binary +). When the right operand is a top, `list + top` is modelled as appending one element, with result lab = l.lab. At runtime a top that is a list concatenates (run.rs:1804), so the result length is len(l)+len(r), and r.lab (secret here) is dropped.
ifc2r1_l16_max_of_top_no_chooser	L16-max-of-top-no-chooser	values	leak	1	REJECT	builtins.rs:179-203 (min/max). A single argument whose list is None (a top) counts as one candidate, so chooser=PUB and the whole top is returned unchanged. At runtime anubis_seq spreads a single list argument (run.rs:2066-2078), so max picks one element by comparing values, some of them secret.
ifc2r1_l17_apply_top_not_spread	L17-apply-top-not-spread	values	leak	0	REJECT	builtins.rs:486-503 (apply). Only xs.list is spread. A top argument is passed as one argument (lines 497-501), so the callback's second parameter is missing and becomes public 0 (eval.rs:729-733). At runtime anubis_apply spreads any List (run.rs:2876-2881).
ifc2r1_l18_apply_caps_spread_at_6	L18-apply-caps-spread-at-6	values	leak	1	REJECT	builtins.rs:493: for a list with unknown items, `vec![li.all.raise(xs.lab); 6]` spreads only six arguments. A seventh or later parameter is padded with public 0 (eval.rs:729-733 for lambdas, a.resize at eval.rs:778 for user fns). At runtime every element is spread.
ifc2r1_l19_irrefutable_let_binds_any_enum_payload	L19-irrefutable-let-binds-any-enum-payload	values	leak	1	REJECT	eval.rs:2298-2338 (bind_pattern EnumVariant). It takes the payload only from enums whose (type, tag) match the pattern, else public 0. A `let` pattern is irrefutable at runtime (run.rs:3607-3618 ignores the test), and payload_expr (run.rs:5520-5524) reads position i of any enum value.
ifc2r1_l20_duplicate_struct_literal_field	L20-duplicate-struct-literal-field	values	leak	1	REJECT	eval.rs:1378-1397 inserts struct literal fields into a BTreeMap, so the last duplicate wins. The runtime keeps both (run.rs:5236-5277), and field_get finds the first (run.rs:1726-1729).
ifc2r1_l21_runtime_trap_message_carries_secret	L21-runtime-trap-message-carries-secret	values	leak	0	ACCEPT	IFC v2 treats panic(msg) as egress (builtins.rs:98-108), but not the runtime's own fail-closed traps. Their messages embed operand values: index_get's missing key (run.rs:1674), out-of-range index and length, chr code point, repeat/take/substr counts.
ifc2r1_o01_loop_cache_reuse_across_calls	O01-loop-cache-reuse-across-calls	values	overrefusal	0	ACCEPT	eval.rs:1145-1196 (exec_loop). loop_cache is keyed by (loop statement, frame depth), not by call context. A later call whose entry state is ⊑ an earlier call's entry reuses that call's exit state and return value (lines 1148-1166). A larger entry is joined with the previous one (lines 1169-1175). So the public call total([2,3]) gets the secret call's result.
ifc2r1_o02_context_summary_after_12	O02-context-summary-after-12	values	overrefusal	0	ACCEPT	eval.rs:508-549 with CONTEXTS_PER_CALLEE=12 (eval.rs:31). From the 13th distinct argument context on, every call shares one summary whose arguments are the join. A public call then receives a result computed from another call's secret argument. Any change of known list length or map key set makes a new context.
ifc2r1_o03_truthiness_uses_content	O03-truthiness-uses-content	values	overrefusal	0	ACCEPT	eval.rs:894-896 (Stmt::If), 1225-1228 (while), 1742-1744 (&&, ||), 1821-1823 (if_value) and 1352-1355 (Unary) use c.deep() for the condition. Runtime truthiness (run.rs:1557-1569) is list, map or string non-emptiness (shape), and always true for enum, struct and closure.
ifc2r1_o04_secret_continue_lifts_later_iterations	O04-secret-continue-lifts-later-iterations	values	overrefusal	0	ACCEPT	eval.rs:1268-1279 (exec_loop_solve) adds cnt_at into lift_loop for every later iteration, and the for variable is bound raised by that pc (eval.rs:1257). A `continue` skips only the rest of its own iteration, and later iterations run regardless. Only `break` decides whether later iterations run.
ifc2r1_o05_shape_raised_on_same_shape_secret_selection	O05-shape-raised-on-same-shape-secret-selection	values	overrefusal	0	ACCEPT	eval.rs:1832 (if_value `.raise(clab)`) and value.rs:311-343 (raise_in_place) raise every shape label, including struct type, tag and list length, even when all branches have the same shape. method_call then uses pc = recv.lab (eval.rs:1670), and for-in uses len_label (eval.rs:2106).
ifc2r1_r01_recursive_walk_of_loop_built_list_timeout	R01-recursive-walk-of-loop-built-list-timeout	values	robustness	0	ACCEPT	The loop widens v to a nested value about DATA_DEPTH (32) deep regardless of the iteration count. The recursive walker then creates a distinct call context per nesting level, each solved to a fixpoint (eval.rs:481-610). Cost grows about 2x per level. No ANUBIS_IFC2_LIMIT is raised, because STEP_BUDGET ticks count statements, not value operations.
ifc2r1_r02_loop_walk_of_nested_list_timeout	R02-loop-walk-of-nested-list-timeout	values	robustness	0	ACCEPT	The second loop's fixpoint (eval.rs:1198-1303) joins g with g[0] each round over a value up to 32 levels deep. The joins and leq over the nested value blow up before LOOP_LIMIT or STEP_BUDGET trigger ANUBIS_IFC2_LIMIT.
ifc2r1_ctl_l1_while_header_sidefx	CTL-L1-while-header-sidefx	control	leak	0	REJECT	eval.rs exec_loop_solve (about lines 1274-1279): after each iteration it sets next.cond = entry.cond and joins only the break/continue pcs into lift_loop. The header's own decision clab is never joined in. At runtime, iteration k+1's header runs only when iteration k's header was true, so it runs under clab. In the analysis it runs at the entry pc, so side effects in the header (expression-position push/pop/insert/remove) and egress in the header are unlabeled in later rounds. Fix: treat the condition-false exit as a break at clab, i.e. next.lift_loop |= clab (and the pattern decision d for while-let).
ifc2r1_ctl_l2_while_header_egress	CTL-L2-while-header-egress	control	leak	0	REJECT	Same as CTL-L1. Under D1 the while header is an egress site that runs under the previous iteration's secret condition, but exec_loop_solve evaluates the header from a head state whose cond was reset to entry.cond. So tick is called at pc PUB with key (tick,[SEC],PUB) and its println is not flagged.
ifc2r1_ctl_l3_whilelet_header_egress	CTL-L3-whilelet-header-egress	control	leak	0	REJECT	Same as CTL-L1, in the LoopKind::WhileLet arm. The scrutinee of round k+1 runs only if round k's pattern decision d (SEC here) matched, but it is evaluated from head with cond = entry.cond.
ifc2r1_ctl_l4_compose_secret_choice	CTL-L4-compose-secret-choice	control	leak	0	REJECT	eval.rs Interp::apply, the fns.composed loop (about lines 796-799). Each composed pair is applied with self.apply(&h, args, p) and self.apply(&g, [inner], p), using the caller's path p. It is not raised by f.lab.control(), unlike the builtins arm (sub path with cond ⊔ f.lab) and the user/closure arms (pc ⊔ f.lab). V::raise_in_place does not touch fns.composed either, so the components keep lab PUB. The if-value raises c.lab to SEC, but which pair runs is never charged to the pc.
ifc2r1_ctl_l5_method_arity_args	CTL-L5-method-arity-args	control	leak	0	REJECT	eval.rs method_call (about lines 1665-1666) evaluates every argument with the caller's path before dispatch, at pc p.pc(). The runtime (run.rs 4957-5000) inlines each lowered argument into each type's match arm and passes only arity-1 of them, and the fallback passes all of them. So which arguments run depends on the receiver's runtime type (recv.lab), and an argument beyond the chosen method's arity never runs.
ifc2r1_ctl_l6_any_short_circuit	CTL-L6-any-short-circuit	control	leak	0	REJECT	builtins.rs: any/all/count/position (about lines 451-455), find/min_by/max_by (446-450) and filter/take_while/drop_while (436-440) apply the callback once via cb(it,&f,[elems],c.lab,p), so the callback's pc is only the collection's shape label. At runtime anubis_any uses Iterator::any (run.rs 2850), and all, find, position and take_while also stop at the first decisive result. Whether the callback runs on element i+1 therefore depends on its result for element i (r.deep(), SEC here).
ifc2r1_ctl_l7_position_short_circuit	CTL-L7-position-short-circuit	control	leak	0	REJECT	Same as CTL-L6 (the any/all/count/position arm of builtins.rs applies the callback once under c.lab).
