id	lens	category	source	original_evidence	verifier_evidence	historical_confirmed	historical_ifc_rc	historical_lanes_rc	expected_semantics	hazards	current_recheck_needed
r2ctl_O02_distinct_float_literal_patterns_not_disjoint	control	overrefusal	src/r2ctl_O02_distinct_float_literal_patterns_not_disjoint.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_O02_distinct_float_literal_patterns_not_disjoint]	verifier/results.json#/r2ctl_O02_distinct_float_literal_patterns_not_disjoint	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2ctl_O03_early_return_same_shape_raises_tag	control	overrefusal	src/r2ctl_O03_early_return_same_shape_raises_tag.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_O03_early_return_same_shape_raises_tag]	verifier/results.json#/r2ctl_O03_early_return_same_shape_raises_tag	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2ctl_O04_select_of_compositions_raises_every_stage	control	overrefusal	src/r2ctl_O04_select_of_compositions_raises_every_stage.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_O04_select_of_compositions_raises_every_stage]	verifier/results.json#/r2ctl_O04_select_of_compositions_raises_every_stage	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2ctl_R01_shift_register_hits_loop_limit	control	robustness	src/r2ctl_R01_shift_register_hits_loop_limit.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_R01_shift_register_hits_loop_limit]	verifier/results.json#/r2ctl_R01_shift_register_hits_loop_limit	True	1	0	Finish realistic supported analysis within its resource envelope; a bounded named refusal is safety evidence but does not by itself close the reported precision/performance defect.	Crash, resource exhaustion, or analysis-limit probe: disposable guest only, with memory/time/stack caps; do not host-check it.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Run only inside the mandated disposable guest with caps, instrument validation, peak-resource evidence, and the original input; distinguish controlled limit from successful analysis.
r2v_01_select_map_insertion_order	values	leak	src/r2v_01_select_map_insertion_order.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_01_select_map_insertion_order]	verifier/results.json#/r2v_01_select_map_insertion_order	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_02_select_struct_field_order	values	leak	src/r2v_02_select_struct_field_order.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_02_select_struct_field_order]	verifier/results.json#/r2v_02_select_struct_field_order	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_03_select_maybe_keys_map	values	leak	src/r2v_03_select_maybe_keys_map.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_03_select_maybe_keys_map]	verifier/results.json#/r2v_03_select_maybe_keys_map	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_04_select_maybe_fields_struct	values	leak	src/r2v_04_select_maybe_fields_struct.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_04_select_maybe_fields_struct]	verifier/results.json#/r2v_04_select_maybe_fields_struct	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_05_nested_write_into_missing_key_makes_it_present	values	leak	src/r2v_05_nested_write_into_missing_key_makes_it_present.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_05_nested_write_into_missing_key_makes_it_present]	verifier/results.json#/r2v_05_nested_write_into_missing_key_makes_it_present	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_06_nested_write_into_missing_field_makes_it_present	values	leak	src/r2v_06_nested_write_into_missing_field_makes_it_present.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_06_nested_write_into_missing_field_makes_it_present]	verifier/results.json#/r2v_06_nested_write_into_missing_field_makes_it_present	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_07_remove_computed_key_keeps_known_keys_present	values	leak	src/r2v_07_remove_computed_key_keeps_known_keys_present.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_07_remove_computed_key_keeps_known_keys_present]	verifier/results.json#/r2v_07_remove_computed_key_keeps_known_keys_present	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_08_merge_drops_first_map_value_when_second_key_maybe	values	leak	src/r2v_08_merge_drops_first_map_value_when_second_key_maybe.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_08_merge_drops_first_map_value_when_second_key_maybe]	verifier/results.json#/r2v_08_merge_drops_first_map_value_when_second_key_maybe	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_09_pattern_decision_top_skips_concrete_parts	values	leak	src/r2v_09_pattern_decision_top_skips_concrete_parts.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_09_pattern_decision_top_skips_concrete_parts]	verifier/results.json#/r2v_09_pattern_decision_top_skips_concrete_parts	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_10_join_enum_different_field_sets_drops_names	values	leak	src/r2v_10_join_enum_different_field_sets_drops_names.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_10_join_enum_different_field_sets_drops_names]	verifier/results.json#/r2v_10_join_enum_different_field_sets_drops_names	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2v_11_remove_trap_message_prints_key_and_index	values	leak	src/r2v_11_remove_trap_message_prints_key_and_index.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_11_remove_trap_message_prints_key_and_index]	verifier/results.json#/r2v_11_remove_trap_message_prints_key_and_index	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Intentional trap or process-exit witness: disposable guest only; preserve stdout, stderr and exit status.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. After runtime redaction, IFC acceptance can be legitimate only when guest replay proves operand values/counts absent from every trap path and direct secret egress remains refused; test all native/guest runtime siblings.
r2v_12_state_merge_push_on_both_branches	values	overrefusal	src/r2v_12_state_merge_push_on_both_branches.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_12_state_merge_push_on_both_branches]	verifier/results.json#/r2v_12_state_merge_push_on_both_branches	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2v_13_state_merge_same_key_added_on_both_branches	values	overrefusal	src/r2v_13_state_merge_same_key_added_on_both_branches.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_13_state_merge_same_key_added_on_both_branches]	verifier/results.json#/r2v_13_state_merge_same_key_added_on_both_branches	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2v_14_state_merge_reassign_same_length	values	overrefusal	src/r2v_14_state_merge_reassign_same_length.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_14_state_merge_reassign_same_length]	verifier/results.json#/r2v_14_state_merge_reassign_same_length	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2v_15_early_return_same_shape_raised	values	overrefusal	src/r2v_15_early_return_same_shape_raised.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_15_early_return_same_shape_raised]	verifier/results.json#/r2v_15_early_return_same_shape_raised	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2v_16_enum_variant_literal_order_join_over_refusal	values	overrefusal	src/r2v_16_enum_variant_literal_order_join_over_refusal.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_16_enum_variant_literal_order_join_over_refusal]	verifier/results.json#/r2v_16_enum_variant_literal_order_join_over_refusal	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2v_17_computed_key_rewrite_of_existing_keys	values	overrefusal	src/r2v_17_computed_key_rewrite_of_existing_keys.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_17_computed_key_rewrite_of_existing_keys]	verifier/results.json#/r2v_17_computed_key_rewrite_of_existing_keys	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2v_18_shared_list_dag_exponential_memory	values	robustness	src/r2v_18_shared_list_dag_exponential_memory.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2v_18_shared_list_dag_exponential_memory]	verifier/results.json#/r2v_18_shared_list_dag_exponential_memory	True	-9	0	Finish realistic supported analysis within its resource envelope; a bounded named refusal is safety evidence but does not by itself close the reported precision/performance defect.	Crash, resource exhaustion, or analysis-limit probe: disposable guest only, with memory/time/stack caps; do not host-check it.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Run only inside the mandated disposable guest with caps, instrument validation, peak-resource evidence, and the original input; distinguish controlled limit from successful analysis.
r2_fn_L1_min_by_max_by_callback_argument	functions	leak	src/r2_fn_L1_min_by_max_by_callback_argument.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2_fn_L1_min_by_max_by_callback_argument]	verifier/results.json#/r2_fn_L1_min_by_max_by_callback_argument	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2_fn_L2_map_insertion_order_not_modelled_in_select	functions	leak	src/r2_fn_L2_map_insertion_order_not_modelled_in_select.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2_fn_L2_map_insertion_order_not_modelled_in_select]	verifier/results.json#/r2_fn_L2_map_insertion_order_not_modelled_in_select	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2_fn_L3_struct_literal_field_order_not_modelled_in_select	functions	leak	src/r2_fn_L3_struct_literal_field_order_not_modelled_in_select.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2_fn_L3_struct_literal_field_order_not_modelled_in_select]	verifier/results.json#/r2_fn_L3_struct_literal_field_order_not_modelled_in_select	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2_fn_L4_panic_and_exit_under_secret_pc_not_refused	functions	leak	src/r2_fn_L4_panic_and_exit_under_secret_pc_not_refused.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2_fn_L4_panic_and_exit_under_secret_pc_not_refused]	verifier/results.json#/r2_fn_L4_panic_and_exit_under_secret_pc_not_refused	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Intentional trap or process-exit witness: disposable guest only; preserve stdout, stderr and exit status.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2_fn_O1_recursive_hof_summary_merges_closure_captures	functions	overrefusal	src/r2_fn_O1_recursive_hof_summary_merges_closure_captures.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2_fn_O1_recursive_hof_summary_merges_closure_captures]	verifier/results.json#/r2_fn_O1_recursive_hof_summary_merges_closure_captures	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2_fn_O2_context_budget_summary_merges_closure_captures	functions	overrefusal	src/r2_fn_O2_context_budget_summary_merges_closure_captures.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2_fn_O2_context_budget_summary_merges_closure_captures]	verifier/results.json#/r2_fn_O2_context_budget_summary_merges_closure_captures	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
r2_fn_O3_closure_summary_reach_label_merges_secret_reaching_pipelines	functions	overrefusal	src/r2_fn_O3_closure_summary_reach_label_merges_secret_reaching_pipelines.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2_fn_O3_closure_summary_reach_label_merges_secret_reaching_pipelines]	verifier/results.json#/r2_fn_O3_closure_summary_reach_label_merges_secret_reaching_pipelines	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
